Idioma,Quadrado Encontrado,W1,W2,W3,W4,W5
Latin,ROTAS | OPERA | TENET | AREPO | SATOR,ROTAS,OPERA,TENET,AREPO,SATOR
Latin,SATOR | AREPO | TENET | OPERA | ROTAS,SATOR,AREPO,TENET,OPERA,ROTAS
Português,CARAS | AGAPA | RADAR | APAGA | SARAC,CARAS,AGAPA,RADAR,APAGA,SARAC
Português,CARAS | ANONA | ROTOR | ANONA | SARAC,CARAS,ANONA,ROTOR,ANONA,SARAC
Português,CARAS | APAGA | RADAR | AGAPA | SARAC,CARAS,APAGA,RADAR,AGAPA,SARAC
Português,CARAS | ARARA | RADAR | ARARA | SARAC,CARAS,ARARA,RADAR,ARARA,SARAC
Português,CASAR | AGAPA | SALAS | APAGA | RASAC,CASAR,AGAPA,SALAS,APAGA,RASAC
Português,CASAR | ANONA | SOMOS | ANONA | RASAC,CASAR,ANONA,SOMOS,ANONA,RASAC
Português,CASAR | APAGA | SALAS | AGAPA | RASAC,CASAR,APAGA,SALAS,AGAPA,RASAC
Português,CASAR | ARARA | SALAS | ARARA | RASAC,CASAR,ARARA,SALAS,ARARA,RASAC
Português,FARAS | AGAPA | RADAR | APAGA | SARAF,FARAS,AGAPA,RADAR,APAGA,SARAF
Português,FARAS | ANONA | ROTOR | ANONA | SARAF,FARAS,ANONA,ROTOR,ANONA,SARAF
Português,FARAS | APAGA | RADAR | AGAPA | SARAF,FARAS,APAGA,RADAR,AGAPA,SARAF
Português,FARAS | ARARA | RADAR | ARARA | SARAF,FARAS,ARARA,RADAR,ARARA,SARAF
Português,PARAS | AGAPA | RADAR | APAGA | SARAP,PARAS,AGAPA,RADAR,APAGA,SARAP
Português,PARAS | ANONA | ROTOR | ANONA | SARAP,PARAS,ANONA,ROTOR,ANONA,SARAP
Português,PARAS | APAGA | RADAR | AGAPA | SARAP,PARAS,APAGA,RADAR,AGAPA,SARAP
Português,PARAS | ARARA | RADAR | ARARA | SARAP,PARAS,ARARA,RADAR,ARARA,SARAP
Português,RASAC | AGAPA | SALAS | APAGA | CASAR,RASAC,AGAPA,SALAS,APAGA,CASAR
Português,RASAC | ANONA | SOMOS | ANONA | CASAR,RASAC,ANONA,SOMOS,ANONA,CASAR
Português,RASAC | APAGA | SALAS | AGAPA | CASAR,RASAC,APAGA,SALAS,AGAPA,CASAR
Português,RASAC | ARARA | SALAS | ARARA | CASAR,RASAC,ARARA,SALAS,ARARA,CASAR
Português,SARAC | AGAPA | RADAR | APAGA | CARAS,SARAC,AGAPA,RADAR,APAGA,CARAS
Português,SARAC | ANONA | ROTOR | ANONA | CARAS,SARAC,ANONA,ROTOR,ANONA,CARAS
Português,SARAC | APAGA | RADAR | AGAPA | CARAS,SARAC,APAGA,RADAR,AGAPA,CARAS
Português,SARAC | ARARA | RADAR | ARARA | CARAS,SARAC,ARARA,RADAR,ARARA,CARAS
Português,SARAF | AGAPA | RADAR | APAGA | FARAS,SARAF,AGAPA,RADAR,APAGA,FARAS
Português,SARAF | ANONA | ROTOR | ANONA | FARAS,SARAF,ANONA,ROTOR,ANONA,FARAS
Português,SARAF | APAGA | RADAR | AGAPA | FARAS,SARAF,APAGA,RADAR,AGAPA,FARAS
Português,SARAF | ARARA | RADAR | ARARA | FARAS,SARAF,ARARA,RADAR,ARARA,FARAS
Português,SARAP | AGAPA | RADAR | APAGA | PARAS,SARAP,AGAPA,RADAR,APAGA,PARAS
Português,SARAP | ANONA | ROTOR | ANONA | PARAS,SARAP,ANONA,ROTOR,ANONA,PARAS
Português,SARAP | APAGA | RADAR | AGAPA | PARAS,SARAP,APAGA,RADAR,AGAPA,PARAS
Português,SARAP | ARARA | RADAR | ARARA | PARAS,SARAP,ARARA,RADAR,ARARA,PARAS
Português,SARAT | AGAPA | RADAR | APAGA | TARAS,SARAT,AGAPA,RADAR,APAGA,TARAS
Português,SARAT | ANONA | ROTOR | ANONA | TARAS,SARAT,ANONA,ROTOR,ANONA,TARAS
Português,SARAT | APAGA | RADAR | AGAPA | TARAS,SARAT,APAGA,RADAR,AGAPA,TARAS
Português,SARAT | ARARA | RADAR | ARARA | TARAS,SARAT,ARARA,RADAR,ARARA,TARAS
Português,TARAS | AGAPA | RADAR | APAGA | SARAT,TARAS,AGAPA,RADAR,APAGA,SARAT
Português,TARAS | ANONA | ROTOR | ANONA | SARAT,TARAS,ANONA,ROTOR,ANONA,SARAT
Português,TARAS | APAGA | RADAR | AGAPA | SARAT,TARAS,APAGA,RADAR,AGAPA,SARAT
Português,TARAS | ARARA | RADAR | ARARA | SARAT,TARAS,ARARA,RADAR,ARARA,SARAT
